Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94070-30761,QB,Nathan,Nathan Peterman,Peterman,3.086666742960612,3,6100,CHI@KC,CHI,KC,,,,,,QB
94070-14377,QB,Tyrod,Tyrod Taylor,Taylor,0.23999999463558197,1,6100,NYG@SF,NYG,SF,,,,,,QB
94070-63589,QB,Sam,Sam Darnold,Darnold,-0.20000000298023224,1,6100,NYG@SF,SF,NYG,,,,,,QB
94070-86200,QB,Sean,Sean Clifford,Clifford,0,1,6100,NO@GB,GB,NO,,,,,,QB
94070-90561,WR,Jerry,Jerry Jeudy,Jeudy,4,1,6100,DEN@MIA,DEN,MIA,,,,,,WR/FLEX
94070-88575,WR,Elijah,Elijah Moore,Moore,6.650000095367432,2,6100,TEN@CLE,CLE,TEN,,,,,,WR/FLEX
94070-64051,QB,Drew,Drew Lock,Lock,,,6100,CAR@SEA,SEA,CAR,,,,,,QB
94070-88630,QB,Matt,Matt Corral,Corral,,,6100,NE@NYJ,NE,NYJ,,,,,,QB
94070-41562,QB,Nick,Nick Mullens,Mullens,3.190000057220459,4,6100,LAC@MIN,MIN,LAC,,,,,,QB
94070-29358,QB,Marcus,Marcus Mariota,Mariota,15.812307504507212,13,6100,PHI@TB,PHI,TB,,,,,,QB
94070-90813,QB,Clayton,Clayton Tune,Tune,,,6100,DAL@ARI,ARI,DAL,,,,,,QB
94070-139985,QB,Bailey,Bailey Zappe,Zappe,10.53499984741211,4,6100,NE@NYJ,NE,NYJ,,,,,,QB
94070-27986,QB,C.J.,C.J. Beathard,Beathard,0,4,6100,HOU@JAC,JAC,HOU,,,,,,QB
94070-93541,RB,Javonte,Javonte Williams,Williams,7.25,2,6100,DEN@MIA,DEN,MIA,,,,,,RB/FLEX
94070-103824,QB,Easton,Easton Stick,Stick,,,6100,LAC@MIN,LAC,MIN,,,,,,QB
94070-91583,QB,Stetson,Stetson Bennett,Bennett,,,6100,LAR@CIN,LAR,CIN,IR,Illness,,,,QB
94070-60947,QB,Jarrett,Jarrett Stidham,Stidham,15.213333129882812,3,6100,DEN@MIA,DEN,MIA,,,,,,QB
94070-44715,QB,Cooper,Cooper Rush,Rush,0,1,6100,DAL@ARI,DAL,ARI,,,,,,QB
94070-69304,QB,Kyle,Kyle Trask,Trask,0.9200000166893005,1,6100,PHI@TB,TB,PHI,,,,,,QB
94070-7872,QB,Brian,Brian Hoyer,Hoyer,1.4800000190734863,1,6100,PIT@LV,LV,PIT,,,,,,QB
94070-91872,RB,Joshua,Joshua Kelley,Kelley,9.5,2,6100,LAC@MIN,LAC,MIN,,,,,,RB/FLEX
94070-28434,QB,Trevor,Trevor Siemian,Siemian,5.579999923706055,2,6100,LAR@CIN,CIN,LAR,,,,,,QB
94070-8023,QB,Josh,Josh Johnson,Johnson,0.9300000071525574,2,6100,IND@BAL,BAL,IND,,,,,,QB
94070-53095,QB,Kyle,Kyle Allen,Allen,-0.20000000298023224,1,6100,BUF@WAS,BUF,WAS,,,,,,QB
94070-14194,QB,Blaine,Blaine Gabbert,Gabbert,5.159999847412109,1,6100,CHI@KC,KC,CHI,,,,,,QB
94070-85983,QB,Hendon,Hendon Hooker,Hooker,,,6100,ATL@DET,DET,ATL,IR,Knee - acl,,,,QB
94070-149696,QB,Trey,Trey Lance,Lance,6.730000019073486,2,6000,DAL@ARI,DAL,ARI,,,,,,QB
94070-69833,QB,Shane,Shane Buechele,Buechele,,,6000,BUF@WAS,BUF,WAS,,,,,,QB
94070-45259,QB,Logan,Logan Woodside,Woodside,,,6000,ATL@DET,ATL,DET,,,,,,QB
94070-90400,QB,Jaren,Jaren Hall,Hall,,,6000,LAC@MIN,MIN,LAC,,,,,,QB
94070-170287,WR,Rashid,Rashid Shaheed,Shaheed,12.399999618530273,2,6000,NO@GB,NO,GB,,,,,,WR/FLEX
94070-41305,WR,Zay,Zay Jones,Jones,7,2,6000,HOU@JAC,JAC,HOU,Q,Knee,,,,WR/FLEX
94070-88440,QB,Braxton,Braxton Burmeister,Burmeister,,,6000,LAR@CIN,LAR,CIN,,,,,,QB
94070-92560,QB,Sam,Sam Ehlinger,Ehlinger,9.654999732971191,4,6000,IND@BAL,IND,BAL,,,,,,QB
94070-70051,QB,Tyler,Tyler Huntley,Huntley,12.076666514078775,6,6000,IND@BAL,BAL,IND,,,,,,QB
94070-31170,QB,Brandon,Brandon Allen,Allen,0.7799999713897705,1,6000,NYG@SF,SF,NYG,,,,,,QB
94070-22994,QB,Case,Case Keenum,Keenum,0.1599999964237213,2,6000,HOU@JAC,HOU,JAC,,,,,,QB
94070-66008,WR,Diontae,Diontae Johnson,Johnson,6.300000190734863,1,6000,PIT@LV,PIT,LV,IR,Hamstring,,,,WR/FLEX
94070-53729,QB,Mason,Mason Rudolph,Rudolph,,,6000,PIT@LV,PIT,LV,,,,,,QB
94070-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,8.404000091552735,5,6000,ATL@DET,DET,ATL,,,,,,QB
94070-94718,QB,Nathan,Nathan Rourke,Rourke,,,6000,HOU@JAC,JAC,HOU,,,,,,QB
94070-88602,QB,Jordan,Jordan Ta'amu,Ta'amu,,,6000,LAC@MIN,MIN,LAC,,,,,,QB
94070-94748,QB,Tommy,Tommy DeVito,DeVito,,,6000,NYG@SF,NYG,SF,,,,,,QB
94070-94797,QB,Kellen,Kellen Mond,Mond,,,6000,TEN@CLE,CLE,TEN,,,,,,QB
94070-103109,QB,Max,Max Duggan,Duggan,,,6000,LAC@MIN,LAC,MIN,,,,,,QB
94070-6894,QB,Aaron,Aaron Rodgers,Rodgers,0,1,6000,NE@NYJ,NYJ,NE,IR,Achilles,,,,QB
94070-86793,QB,Jake,Jake Haener,Haener,,,6000,NO@GB,NO,GB,IR,Suspension,,,,QB
94070-92975,QB,Malik,Malik Cunningham,Cunningham,,,6000,NE@NYJ,NE,NYJ,,,,,,QB
