Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
94505-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,4.550000190734863,2,5200,BAL@PIT,BAL,PIT,Q,Ankle,,,,WR/FLEX
94505-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,6.599999745686849,3,5200,PHI@LAR,PHI,LAR,,,,,,RB/FLEX
94505-86080,TE,Kyle,Kyle Pitts,Pitts,4.300000190734863,4,5100,HOU@ATL,ATL,HOU,,,,,,TE/FLEX
94505-29780,TE,Zach,Zach Ertz,Ertz,5.900000095367432,4,5100,CIN@ARI,ARI,CIN,,,,,,TE/FLEX
94505-83083,WR,Justin,Justin Watson,Watson,4.574999809265137,4,5100,KC@MIN,KC,MIN,,,,,,WR/FLEX
94505-33260,WR,DeVante,DeVante Parker,Parker,5.299999872843425,3,5100,NO@NE,NE,NO,,,,,,WR/FLEX
94505-71521,RB,Justice,Justice Hill,Hill,7.666666666666667,3,5100,BAL@PIT,BAL,PIT,Q,Foot,,,,RB/FLEX
94505-70603,RB,Devin,Devin Singletary,Singletary,4.559999942779541,4,5100,HOU@ATL,HOU,ATL,,,,,,RB/FLEX
94505-28643,WR,Allen,Allen Robinson II,Robinson II,4.199999809265137,4,5100,BAL@PIT,PIT,BAL,,,,,,WR/FLEX
94505-28900,RB,Melvin,Melvin Gordon III,Gordon III,5.699999809265137,2,5000,BAL@PIT,BAL,PIT,,,,,,RB/FLEX
94505-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,9.27058859432445,17,5000,NYG@MIA,MIA,NYG,IR,Ribs,,,,RB/FLEX
94505-12555,D,Baltimore,Baltimore Ravens,Ravens,9.75,4,5000,BAL@PIT,BAL,PIT,,,,,,DEF
94505-64905,WR,Trenton,Trenton Irwin,Irwin,2.200000047683716,1,5000,CIN@ARI,CIN,ARI,,,,,,WR/FLEX
94505-45565,TE,Taysom,Taysom Hill,Hill,3.484999895095825,4,5000,NO@NE,NO,NE,,,,,,TE/FLEX
94505-64031,TE,Hayden,Hayden Hurst,Hurst,4.724999904632568,4,5000,CAR@DET,CAR,DET,,,,,,TE/FLEX
94505-25267,WR,Mack,Mack Hollins,Hollins,3.7249999046325684,4,5000,HOU@ATL,ATL,HOU,,,,,,WR/FLEX
94505-111311,WR,Rashee,Rashee Rice,Rice,6.550000190734863,4,5000,KC@MIN,KC,MIN,,,,,,WR/FLEX
94505-29683,WR,Nelson,Nelson Agholor,Agholor,7.200000127156575,3,5000,BAL@PIT,BAL,PIT,,,,,,WR/FLEX
94505-48116,TE,Jonnu,Jonnu Smith,Smith,8.466666539510092,3,5000,HOU@ATL,ATL,HOU,,,,,,TE/FLEX
94505-29685,WR,Robert,Robert Woods,Woods,7.025000095367432,4,5000,HOU@ATL,HOU,ATL,,,,,,WR/FLEX
94505-93408,WR,Rondale,Rondale Moore,Moore,5.525000095367432,4,4900,CIN@ARI,ARI,CIN,,,,,,WR/FLEX
94505-12539,D,Miami,Miami Dolphins,Dolphins,4.25,4,4900,NYG@MIA,MIA,NYG,,,,,,DEF
94505-93539,RB,Michael,Michael Carter,Carter,2.075000047683716,4,4900,NYJ@DEN,NYJ,DEN,,,,,,RB/FLEX
94505-71241,WR,Brandon,Brandon Johnson,Johnson,8.199999809265137,4,4900,NYJ@DEN,DEN,NYJ,,,,,,WR/FLEX
94505-55042,TE,Dalton,Dalton Schultz,Schultz,4.974999904632568,4,4900,HOU@ATL,HOU,ATL,,,,,,TE/FLEX
94505-91971,RB,Ronnie,Ronnie Rivers,Rivers,2.5333333015441895,3,4900,PHI@LAR,LAR,PHI,,,,,,RB/FLEX
94505-85845,WR,Rashod,Rashod Bateman,Bateman,3.133333206176758,3,4900,BAL@PIT,BAL,PIT,,,,,,WR/FLEX
