
Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
95526-23740,PG/SG,Ryan,Ryan Arcidiacono,Arcidiacono,4.325,3500,NY@CLE,NY,CLE,,,,,,PG/SG,0.00,0.00,0.00
95526-18376,SG,Damion,Damion Lee,Lee,13.39268233,3500,SA@PHO,PHO,SA,O,Knee,,,,SG,0.00,0.00,0.00
95526-84688,PF,Keita,Keita Bates-Diop,Bates-Diop,4.699999809,3500,SA@PHO,PHO,SA,,,,,,PF,3.60,1.03,3.97
95526-171750,SG,Blake,Blake Wesley,Wesley,4.5,3500,SA@PHO,SA,PHO,,,,,,SG,0.00,0.00,0.02
95526-195815,C,Charles,Charles Bediako,Bediako,,3500,SA@PHO,SA,PHO,,,,,,C,0.00,0.00,0.00
95526-188407,SF,Jett,Jett Howard,Howard,1.5,3500,ORL@LAC,ORL,LAC,,,,,,SF,11.00,3.15,12.99
95526-171765,PF,Moussa,Moussa Diabate,Diabate,6.199999809,3500,ORL@LAC,LAC,ORL,,,,,,PF,0.00,0.00,0.08
95526-171771,SF,Caleb,Caleb Houstan,Houstan,4.199999809,3500,ORL@LAC,ORL,LAC,,,,,,SF,0.00,0.00,0.05
95526-110328,SF,Admiral,Admiral Schofield,Schofield,8.078378213,3500,ORL@LAC,ORL,LAC,,,,,,SF,0.00,0.00,0.04
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
,,,,,,,,,,,,,,,,0.00,0.00,0.00
