Id,Position,First Name,Nickname,Last Name,OG_FPPG,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,FPPG,Value,Projected Minutes
96011-157829,SG,Aaron,Aaron Wiggins,Wiggins,6.785714286,3600,OKC@PHO,OKC,PHO,,,,,,SG,0.00,0.00,0.10
96011-171668,PG,Collin,Collin Gillespie,Gillespie,6.079999924,3600,DEN@HOU,DEN,HOU,,,,,,PG,13.30,3.71,16.04
96011-157849,PG/SG,Ayo,Ayo Dosunmu,Dosunmu,8.857142857,3600,DET@CHI,CHI,DET,,,,,,PG/SG,5.90,1.63,8.17
96011-84668,SF,Troy,Troy Brown,Brown,5,3600,MIN@GS,MIN,GS,,,,,,SF,0.00,0.00,0.10
96011-15583,PG/SG,Seth,Seth Curry,Curry,5.53333346,3600,DAL@NO,DAL,NO,,,,,,PG/SG,0.10,0.03,0.20
96011-171751,SG,Max,Max Christie,Christie,9.680000305,3600,POR@LAL,LAL,POR,,,,,,SG,0.00,0.00,0.10
96011-84719,PG,Aaron,Aaron Holiday,Holiday,9.049999873,3600,DEN@HOU,HOU,DEN,,,,,,PG,10.90,3.02,14.90
96011-85238,SG/SF,Yuta,Yuta Watanabe,Watanabe,11.23333316,3600,OKC@PHO,PHO,OKC,,,,,,SG/SF,10.30,2.86,13.81
96011-110340,PF/C,Jaxson,Jaxson Hayes,Hayes,4.457142966,3600,POR@LAL,LAL,POR,GTD,Ankle,,,,PF/C,5.60,1.56,7.19
96011-180484,SG,Stanley,Stanley Umude,Umude,5.287499905,3600,DET@CHI,DET,CHI,,,,,,SG,0.00,0.00,0.02
96011-9648,PF/SF,Jeff,Jeff Green,Green,10.875,3600,DEN@HOU,HOU,DEN,,,,,,SF/PF,0.00,0.00,0.06
96011-163280,C,Olivier,Olivier Sarr,Sarr,10.52499962,3600,OKC@PHO,OKC,PHO,,,,,,C,0.00,0.00,0.10
96011-16363,SG/SF,Joe,Joe Harris,Harris,6.342857361,3600,DET@CHI,DET,CHI,O,Shoulder,,,,SG/SF,0.00,0.00,0.00
96011-180737,SG,Jeenathan,Jeenathan Williams,Williams,6.75,3500,DEN@HOU,HOU,DEN,,,,,,SG,0.00,0.00,0.00
96011-188424,PF,Olivier-Maxence,Olivier-Maxence Prosper,Prosper,1.100000024,3500,DAL@NO,DAL,NO,,,,,,PF,0.00,0.00,0.09
96011-101387,PG/SG,Gabe,Gabe Vincent,Vincent,15.69999981,3500,POR@LAL,LAL,POR,O,Knee,,,,PG/SG,0.00,0.00,0.00
96011-188429,SF,Kris,Kris Murray,Murray,2.399999936,3500,POR@LAL,POR,LAL,,,,,,SF,0.00,0.00,0.00
96011-189456,SG,Malcolm,Malcolm Cazalon,Cazalon,0,3500,DET@CHI,DET,CHI,,,,,,SG,0.10,0.03,0.32
96011-188432,SG,Jalen,Jalen Hood-Schifino,Hood-Schifino,,3500,POR@LAL,LAL,POR,O,Knee,,,,SG,0.00,0.00,0.00
96011-188446,SF,Sidy,Sidy Cissoko,Cissoko,,3500,MIA@SA,SA,MIA,,,,,,SF,0.00,0.00,0.02
96011-189468,C/PF,Colin,Colin Castleton,Castleton,5.300000191,3500,POR@LAL,LAL,POR,,,,,,PF/C,0.00,0.00,0.06
96011-189469,SG,D'Moi,D'Moi Hodge,Hodge,3.25,3500,POR@LAL,LAL,POR,,,,,,SG,0.00,0.00,0.10
96011-158243,SF,Ish,Ish Wainright,Wainright,10.03787879,3500,POR@LAL,POR,LAL,GTD,Calf,,,,SF,2.30,0.65,3.04
96011-117285,SF,Vlatko,Vlatko Cancar,Cancar,9.949230957,3500,DEN@HOU,DEN,HOU,,,,,,SF,0.00,0.00,0.00
96011-188452,SF/PF,Leonard,Leonard Miller,Miller,1.200000048,3500,MIN@GS,MIN,GS,,,,,,SF/PF,0.00,0.00,0.02
96011-188453,SG,Jaylen,Jaylen Clark,Clark,,3500,MIN@GS,MIN,GS,O,Achilles,,,,SG,0.00,0.00,0.00
96011-175653,SG,Jared,Jared Rhoden,Rhoden,4.059999847,3500,DET@CHI,DET,CHI,,,,,,SG,0.00,0.00,0.09
96011-188458,SG,Jalen,Jalen Pickett,Pickett,3.099999905,3500,DEN@HOU,DEN,HOU,,,,,,SG,0.00,0.00,0.03
96011-188459,PF,Hunter,Hunter Tyson,Tyson,1.399999976,3500,DEN@HOU,DEN,HOU,,,,,,PF,0.00,0.00,0.08
96011-188456,SG,Rayan,Rayan Rupert,Rupert,0,3500,POR@LAL,POR,LAL,,,,,,SG,0.00,0.00,0.05
96011-188463,SF,Julian,Julian Phillips,Phillips,0.3000000119,3500,DET@CHI,CHI,DET,,,,,,SF,0.00,0.00,0.07
96011-190515,SG,Onuralp,Onuralp Bitim,Bitim,0,3500,DET@CHI,CHI,DET,,,,,,SG,0.10,0.03,0.20
96011-188468,SF,Keyontae,Keyontae Johnson,Johnson,0,3500,OKC@PHO,OKC,PHO,,,,,,SF,0.00,0.00,0.09
